RegionName,State,Metro,County,City,Zri,Region
Congress Springs,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Saratoga,4553,"Congress Springs, Saratoga, Santa Clara County, CA"
Telegraph Hill,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4550,"Telegraph Hill, San Francisco, San Francisco County, CA"
Del Mar Heights,CA,San Diego-Carlsbad,San Diego County,San Diego,4526,"Del Mar Heights, San Diego, San Diego County, CA"
Royal Harbor,FL,Naples-Immokalee-Marco Island,Collier County,Naples,4517,"Royal Harbor, Naples, Collier County, FL"
Lower Pacific Heights,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4515,"Lower Pacific Heights, San Francisco, San Francisco County, CA"
Tamalpais Valley,CA,San Francisco-Oakland-Hayward,Marin County,Mill Valley,4487,"Tamalpais Valley, Mill Valley, Marin County, CA"
Upper Market,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4486,"Upper Market, San Francisco, San Francisco County, CA"
South Beach,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4484,"South Beach, San Francisco, San Francisco County, CA"
Downtown Menlo Park,CA,San Francisco-Oakland-Hayward,San Mateo County,Menlo Park,4443,"Downtown Menlo Park, Menlo Park, San Mateo County, CA"
Midtown,NY,New York-Newark-Jersey City,New York County,New York,4409,"Midtown, New York, New York County, NY"
Mission Bay,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4399,"Mission Bay, San Francisco, San Francisco County, CA"
Western Addition,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4382,"Western Addition, San Francisco, San Francisco County, CA"
Baywood Knolls,CA,San Francisco-Oakland-Hayward,San Mateo County,San Mateo,4378,"Baywood Knolls, San Mateo, San Mateo County, CA"
Brentwood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,4348,"Brentwood, Los Angeles, Los Angeles County, CA"
Bel Air,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,4339,"Bel Air, Los Angeles, Los Angeles County, CA"
University Heights,CA,San Francisco-Oakland-Hayward,San Mateo County,Menlo Park,4338,"University Heights, Menlo Park, San Mateo County, CA"
Monta Vista North,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Cupertino,4326,"Monta Vista North, Cupertino, Santa Clara County, CA"
Bernal Heights,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4316,"Bernal Heights, San Francisco, San Francisco County, CA"
Midtown,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Palo Alto,4300,"Midtown, Palo Alto, Santa Clara County, CA"
Mission,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4265,"Mission, San Francisco, San Francisco County, CA"
Westwood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,4245,"Westwood, Los Angeles, Los Angeles County, CA"
Golden Gate Heights,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4245,"Golden Gate Heights, San Francisco, San Francisco County, CA"
Venice,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,4234,"Venice, Los Angeles, Los Angeles County, CA"
Weibel,CA,San Francisco-Oakland-Hayward,Alameda County,Fremont,4160,"Weibel, Fremont, Alameda County, CA"
Cheviot Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,4150,"Cheviot Hills, Los Angeles, Los Angeles County, CA"
Sunset Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Monica,4142,"Sunset Park, Santa Monica, Los Angeles County, CA"
Inner Richmond,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4135,"Inner Richmond, San Francisco, San Francisco County, CA"
Bay Meadows,CA,San Francisco-Oakland-Hayward,San Mateo County,San Mateo,4124,"Bay Meadows, San Mateo, San Mateo County, CA"
Glen Park,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4119,"Glen Park, San Francisco, San Francisco County, CA"
Inner Sunset,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4092,"Inner Sunset, San Francisco, San Francisco County, CA"
South of Market,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,4075,"South of Market, San Francisco, San Francisco County, CA"
Wilshire-Montana,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Monica,4060,"Wilshire-Montana, Santa Monica, Los Angeles County, CA"
Flatiron District,NY,New York-Newark-Jersey City,New York County,New York,4040,"Flatiron District, New York, New York County, NY"
East San Roque,CA,Santa Maria-Santa Barbara,Santa Barbara County,Santa Barbara,4003,"East San Roque, Santa Barbara, Santa Barbara County, CA"
Outer Richmond,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3993,"Outer Richmond, San Francisco, San Francisco County, CA"
La Jolla,CA,San Diego-Carlsbad,San Diego County,San Diego,3979,"La Jolla, San Diego, San Diego County, CA"
Oceanview,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3975,"Oceanview, San Francisco, San Francisco County, CA"
Century City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,3959,"Century City, Los Angeles, Los Angeles County, CA"
Woodside Plaza,CA,San Francisco-Oakland-Hayward,San Mateo County,Redwood City,3937,"Woodside Plaza, Redwood City, San Mateo County, CA"
Outer Sunset,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3933,"Outer Sunset, San Francisco, San Francisco County, CA"
El Miradero,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Glendale,3933,"El Miradero, Glendale, Los Angeles County, CA"
Monta Vista South,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Cupertino,3911,"Monta Vista South, Cupertino, Santa Clara County, CA"
Visitacion Valley,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3910,"Visitacion Valley, San Francisco, San Francisco County, CA"
Cipriani,CA,San Francisco-Oakland-Hayward,San Mateo County,Belmont,3906,"Cipriani, Belmont, San Mateo County, CA"
North Blaney,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Cupertino,3899,"North Blaney, Cupertino, Santa Clara County, CA"
Silver Terrace,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3898,"Silver Terrace, San Francisco, San Francisco County, CA"
Marinwood,CA,San Francisco-Oakland-Hayward,Marin County,San Rafael,3895,"Marinwood, San Rafael, Marin County, CA"
Charlestowne,SC,Charleston-North Charleston,Charleston County,Charleston,3892,"Charlestowne, Charleston, Charleston County, SC"
Southeast Hillsdale,CA,San Francisco-Oakland-Hayward,San Mateo County,San Mateo,3890,"Southeast Hillsdale, San Mateo, San Mateo County, CA"
West Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,3889,"West Los Angeles, Los Angeles, Los Angeles County, CA"
Northeast Hillsdale,CA,San Francisco-Oakland-Hayward,San Mateo County,San Mateo,3887,"Northeast Hillsdale, San Mateo, San Mateo County, CA"
De Anza,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Sunnyvale,3879,"De Anza, Sunnyvale, Santa Clara County, CA"
Duveneck - St. Francis,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Palo Alto,3868,"Duveneck - St. Francis, Palo Alto, Santa Clara County, CA"
Aragon,CA,San Francisco-Oakland-Hayward,San Mateo County,San Mateo,3867,"Aragon, San Mateo, San Mateo County, CA"
Excelsior,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3857,"Excelsior, San Francisco, San Francisco County, CA"
The Willows,CA,San Francisco-Oakland-Hayward,San Mateo County,Menlo Park,3848,"The Willows, Menlo Park, San Mateo County, CA"
Farm Hill,CA,San Francisco-Oakland-Hayward,San Mateo County,Redwood City,3840,"Farm Hill, Redwood City, San Mateo County, CA"
Roosevelt Island,NY,New York-Newark-Jersey City,New York County,New York,3838,"Roosevelt Island, New York, New York County, NY"
Ocean Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Monica,3819,"Ocean Park, Santa Monica, Los Angeles County, CA"
South of Midtown,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Palo Alto,3816,"South of Midtown, Palo Alto, Santa Clara County, CA"
Sunnyside,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3814,"Sunnyside, San Francisco, San Francisco County, CA"
Parkside,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3809,"Parkside, San Francisco, San Francisco County, CA"
Merced Manor,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3804,"Merced Manor, San Francisco, San Francisco County, CA"
Playa Vista,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,3799,"Playa Vista, Los Angeles, Los Angeles County, CA"
Redwood Oaks,CA,San Francisco-Oakland-Hayward,San Mateo County,Redwood City,3775,"Redwood Oaks, Redwood City, San Mateo County, CA"
Cuesta Park,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Mountain View,3775,"Cuesta Park, Mountain View, Santa Clara County, CA"
Bayview,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,3774,"Bayview, San Francisco, San Francisco County, CA"
Upper East Side,NY,New York-Newark-Jersey City,New York County,New York,3772,"Upper East Side, New York, New York County, NY"
Mid-City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Santa Monica,3772,"Mid-City, Santa Monica, Los Angeles County, CA"
Mission Valley,CA,San Francisco-Oakland-Hayward,Alameda County,Fremont,3768,"Mission Valley, Fremont, Alameda County, CA"
Central,CA,San Francisco-Oakland-Hayward,San Mateo County,Belmont,3762,"Central, Belmont, San Mateo County, CA"
Rancho Rinconada,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Cupertino,3760,"Rancho Rinconada, Cupertino, Santa Clara County, CA"
La Playa,CA,San Diego-Carlsbad,San Diego County,San Diego,3757,"La Playa, San Diego, San Diego County, CA"
Old Mountain View,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Mountain View,3756,"Old Mountain View, Mountain View, Santa Clara County, CA"
