RegionName;State;Metro;County;City;Zri
Canal;CA;San Francisco-Oakland-Hayward;Marin County;San Rafael;3729
Lake Success;NY;New York-Newark-Jersey City;Nassau County;Great Neck;3729
Eastside;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;3721
Mission Beach;CA;San Diego-Carlsbad;San Diego County;San Diego;3719
Serra;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3715
Cameron Hills;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3707
Raynor;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3702
Palm;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3697
Del Rey;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3695
Twenty-Fifth Ave;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3665
Mariners Island;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3632
Pico District;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;3631
Laurelwood;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3628
Park East;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Culver City;3623
Turtle Rock;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3615
Downtown-Third Street Promenade;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Santa Monica;3615
Washington;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3611
Ingleside;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3611
Crocker Amazon;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3610
Ortega;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3604
San Marin;CA;San Francisco-Oakland-Hayward;Marin County;Novato;3598
Channel Islands;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Oxnard;3598
Rancho Carrillo;CA;San Diego-Carlsbad;San Diego County;Carlsbad;3596
Portola;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3589
Downtown;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3589
Sutton Place;NY;New York-Newark-Jersey City;New York County;New York;3587
Mission Terrace;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3586
South Blaney;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Cupertino;3576
Jollyman;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Cupertino;3574
Westside;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;3569
Terra Linda;CA;San Francisco-Oakland-Hayward;Marin County;San Rafael;3567
Shoreline West;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Mountain View;3565
San Mateo Heights;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3556
South Shore;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3552
Boats;CA;San Francisco-Oakland-Hayward;San Mateo County;Foster City;3550
Lake Lindero;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Agoura Hills;3546
Gramercy;NY;New York-Newark-Jersey City;New York County;New York;3523
Pico-Robertson;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3523
Aviara;CA;San Diego-Carlsbad;San Diego County;Carlsbad;3523
Covenant Hills Village;CA;Los Angeles-Long Beach-Anaheim;Orange County;Ladera Ranch;3523
Central;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3522
San Tomas;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Campbell;3519
Bay-O-Vista;CA;San Francisco-Oakland-Hayward;Alameda County;San Leandro;3510
Outer Mission;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3501
Oak Park;CA;Santa Maria-Santa Barbara;Santa Barbara County;Santa Barbara;3500
South Arroyo;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Pasadena;3498
Lakewood;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3497
South Beach;CA;San Diego-Carlsbad;San Diego County;Carlsbad;3490
Sawtelle;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3484
Ponderosa;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3483
Garment District;NY;New York-Newark-Jersey City;New York County;New York;3479
Mt. Carmel;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3478
Kings Point;NY;New York-Newark-Jersey City;Nassau County;Great Neck;3462
Kimber-Gomes;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3458
Sunny Hills;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Milpitas;3457
Central Business District;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3450
Playa Del Rey;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3448
Central;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3442
Mar Vista;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3433
West Murphy;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3433
Marina;CA;San Diego-Carlsbad;San Diego County;San Diego;3432
Fair Oaks;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;3431
Downtown Crossing;MA;Boston-Cambridge-Newton;Suffolk County;Boston;3429
East Village;NY;New York-Newark-Jersey City;New York County;New York;3415
Almaden Valley;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3411
Mid City West;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3389
Orange County Great Park;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3388
Friendly Acres;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3380
Harbor Bay Isle;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3370
Belle Haven;CA;San Francisco-Oakland-Hayward;San Mateo County;Menlo Park;3358
West San Jose;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3353
Bay Farm Island;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3352
Upper Rockridge;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3350
Murray Hill;NY;New York-Newark-Jersey City;New York County;New York;3349
Great Neck Estates;NY;New York-Newark-Jersey City;Nassau County;Great Neck;3349
Roosevelt;CA;San Francisco-Oakland-Hayward;San Mateo County;Redwood City;3348
Fox Hills;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Culver City;3344
North Shoreview;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3343
Lakes and Birds;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3336
West Campbell;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Campbell;3332
Corey Hill;MA;Boston-Cambridge-Newton;Norfolk County;Brookline;3330
Hollyglen;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Hawthorne;3329
Portola Springs;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3302
Central Campbell;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Campbell;3300
Turtle Bay;NY;New York-Newark-Jersey City;New York County;New York;3296
North Beach;FL;Deltona-Daytona Beach-Ormond Beach;Volusia County;New Smyrna Beach;3289
East Murphy;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Sunnyvale;3287
Santa Teresa;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3284
Mission San Jose;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3281
Cambrian Park;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3278
Downtown;MA;Boston-Cambridge-Newton;Suffolk County;Boston;3272
Aspinwall Hill;MA;Boston-Cambridge-Newton;Norfolk County;Brookline;3267
Ingleside Heights;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3265
Rockridge;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3260
Lauriedale;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3257
Carmel Valley;CA;San Diego-Carlsbad;San Diego County;San Diego;3252
West End;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3239
Evergreen;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3237
Studio City;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3235
Shafter;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3229
Great Neck Village;NY;New York-Newark-Jersey City;Nassau County;Great Neck;3227
North Central;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3225
Palms;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3223
Poets Corner;CA;San Francisco-Oakland-Hayward;Contra Costa County;Pleasant Hill;3222
Willow Glen;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3221
Orchard Hills;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3220
Thomaston;NY;New York-Newark-Jersey City;Nassau County;Great Neck;3214
Oak Hill;MA;Boston-Cambridge-Newton;Middlesex County;Newton;3207
Southwood;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Torrance;3204
Marina;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Ventura;3203
Oak Knoll Village;CA;Los Angeles-Long Beach-Anaheim;Orange County;Ladera Ranch;3203
Edenvale - Seven Trees;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3200
Berryessa;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3198
Chevy Chase;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Glendale;3198
East End;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3174
Browns Valley East;CA;Napa;Napa County;Napa;3169
Back Bay;MA;Boston-Cambridge-Newton;Suffolk County;Boston;3168
Pacific Beach;CA;San Diego-Carlsbad;San Diego County;San Diego;3167
South Shoreview;CA;San Francisco-Oakland-Hayward;San Mateo County;San Mateo;3165
Union;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;Campbell;3163
Tenderloin;CA;San Francisco-Oakland-Hayward;San Francisco County;San Francisco;3159
Bronze Coast;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3151
Chestnut Hill;MA;Boston-Cambridge-Newton;Middlesex County;Newton;3141
Crestview;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3140
Northgate;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3138
Brookvale;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3138
Marina Area;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;3135
Vineyard Estates;CA;Napa;Napa County;Napa;3126
North San Jose;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3125
Downtown;NY;New York-Newark-Jersey City;Kings County;New York;3124
Temescal;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3119
Springwood Estates;CA;Napa;Napa County;Napa;3118
Woodbury;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3108
Hollywood Hills;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3106
Hayward Highland;CA;San Francisco-Oakland-Hayward;Alameda County;Hayward;3105
Palmetto Dunes;SC;Hilton Head Island-Bluffton-Beaufort;Beaufort County;Hilton Head Island;3105
Hollywood by the Sea;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Oxnard;3099
Mid Wilshire;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3096
South Boston;MA;Boston-Cambridge-Newton;Suffolk County;Boston;3096
Georgetown;DC;Washington-Arlington-Alexandria;District of Columbia;Washington;3092
North Valley;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3091
Central;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;3090
South End;MA;Boston-Cambridge-Newton;Suffolk County;Boston;3077
Lower Peters Canyon;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3072
Roseville - Fleet Ridge;CA;San Diego-Carlsbad;San Diego County;San Diego;3064
Parkmont;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3062
Ocean Beach;CA;San Diego-Carlsbad;San Diego County;San Diego;3060
Beverlywood;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3060
Montclair;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3060
Fairview Park;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3060
Bushrod;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3059
Walnut Village;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3056
Princeton North;NJ;Trenton;Mercer County;Princeton;3055
Grimmer;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3049
Oakmore;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3047
Glenmoor;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3041
Blossom Valley;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;3038
Woodbridge;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;3038
Longfellow;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3037
Lake View;WA;Seattle-Tacoma-Bellevue;King County;Kirkland;3037
Shadow Hills;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3033
Hedionda Point;CA;San Diego-Carlsbad;San Diego County;Carlsbad;3031
Mid City;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;3030
Estudiollo Estates;CA;San Francisco-Oakland-Hayward;Alameda County;San Leandro;3027
Cleveland Heights;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3023
Cabrillo;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3020
Prospector;UT;Summit Park;Summit County;Park City;3018
Rancho La Costa;CA;San Diego-Carlsbad;San Diego County;Carlsbad;3011
Trestle Glen;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;3011
Boerum Hill;NY;New York-Newark-Jersey City;Kings County;New York;3008
Niles;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;3007
Wellshire;CO;Denver-Aurora-Lakewood;Denver County;Denver;3007
Tudor City;NY;New York-Newark-Jersey City;New York County;New York;3006
Vintage;CA;Napa;Napa County;Napa;3005
New Town;FL;Key West;Monroe County;Key West;3004
Green Hills Neighborhood Association;TN;Nashville-Davidson--Murfreesboro--Franklin;Davidson County;Nashville;3003
Newbury Park;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Thousand Oaks;3002
Glenview;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2999
Monterey Vista;CA;Salinas;Monterey County;Monterey;2999
Newton Highlands;MA;Boston-Cambridge-Newton;Middlesex County;Newton;2998
Rancho;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Burbank;2998
New Monterey;CA;Salinas;Monterey County;Monterey;2997
Northwood Point;CA;Los Angeles-Long Beach-Anaheim;Orange County;Irvine;2995
East San Jose;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;2992
Riverside;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Greenwich;2992
The North End;VA;Virginia Beach-Norfolk-Newport News;Virginia Beach City;Virginia Beach;2992
Rose Garden;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;2990
Fenway;MA;Boston-Cambridge-Newton;Suffolk County;Boston;2989
Alamitos Heights;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Long Beach;2989
Encino;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2988
Chinatown;MA;Boston-Cambridge-Newton;Suffolk County;Boston;2987
Sorrento Valley;CA;San Diego-Carlsbad;San Diego County;San Diego;2987
Oxnard Shores;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Oxnard;2986
Southwood Riviera;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Torrance;2985
Toluca Lake;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2985
Hillside;CA;San Francisco-Oakland-Hayward;Alameda County;Albany;2985
Fernside;CA;San Francisco-Oakland-Hayward;Alameda County;Alameda;2983
Porter Ranch;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2979
Thompsonville;MA;Boston-Cambridge-Newton;Middlesex County;Newton;2974
Jefferson;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Culver City;2972
Warm Springs;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;2964
Piedmont Avenue;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2964
Silver Lake;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2963
Ardenwood;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;2962
West Hills;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2960
Chinatown;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2960
Oakland Avenue-Harrison Street;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2959
Chabot Park;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2959
South Sundale;CA;San Francisco-Oakland-Hayward;Alameda County;Fremont;2956
Houghton;WA;Seattle-Tacoma-Bellevue;King County;Kirkland;2951
Tarzana;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2950
Sherman Oaks;CA;Los Angeles-Long Beach-Anaheim;Los Angeles County;Los Angeles;2949
Southport;CT;Bridgeport-Stamford-Norwalk;Fairfield County;Fairfield;2949
Beacon Hill;MA;Boston-Cambridge-Newton;Suffolk County;Boston;2945
Park Santiago;CA;Los Angeles-Long Beach-Anaheim;Orange County;Santa Ana;2945
Poinsettia;CA;Oxnard-Thousand Oaks-Ventura;Ventura County;Ventura;2943
Prescott;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2941
Hidden Valley;WA;Seattle-Tacoma-Bellevue;King County;Bellevue;2940
North Beach;CA;San Diego-Carlsbad;San Diego County;Carlsbad;2938
Adams Point;CA;San Francisco-Oakland-Hayward;Alameda County;Oakland;2936
Gregory Gardens;CA;San Francisco-Oakland-Hayward;Contra Costa County;Pleasant Hill;2936
Fairview;CA;San Francisco-Oakland-Hayward;Alameda County;Hayward;2932
Mt Eden;CA;San Francisco-Oakland-Hayward;Alameda County;Hayward;2929
Williamsburg;NY;New York-Newark-Jersey City;Kings County;New York;2928
Alum Rock-East Foothills;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;2928
Downtown;CA;San Jose-Sunnyvale-Santa Clara;Santa Clara County;San Jose;2927
